"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HospitalChone/1219414631421488_972394618005009/1219414631421488_972394618005009";"1305";"1197";"2";"1219414631421488_972394618005009";"offcut";"";"fetched (200)";"2024-06-08 21:38:35.677440";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972365274674610";"1198";"1190";"1";"1219414631421488_972365274674610";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-31T14:19:54+0000";"";"";""
"HospitalChone/1219414631421488_972365274674610/1219414631421488_972365274674610";"1306";"1198";"2";"1219414631421488_972365274674610";"empty";"";"fetched (200)";"2024-06-08 21:38:35.981173";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_972365274674610/1219414631421488_972365274674610";"1307";"1198";"2";"1219414631421488_972365274674610";"offcut";"";"fetched (200)";"2024-06-08 21:38:35.981173";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_971931988051272";"1199";"1190";"1";"1219414631421488_971931988051272";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve |👸🏻🫅🏻Entre juegos, canciones y con la presencia de los títeres Paquito y Rosita de la Policía Nacional del Ecuador, se realizó el agasajo a nuestros pequeños pacientes ingresados en el área de Pediatría del Hospital General Dr. Napoleón Dávila Córdova, por motivo de la próxima conmemoración del #DíaInternacionalDelNiño. Dejamos una divertida galería de fotos de esta celebración.";"2024-05-30T20:38:20+0000";"";"";""
"HospitalChone/1219414631421488_971931988051272/1219414631421488_971931988051272";"1308";"1199";"2";"1219414631421488_971931988051272";"data";"data.*";"fetched (200)";"2024-06-08 21:38:36.308176";"Facebook:/<post-id>/comments";"Excelente 👌";"2024-05-30T21:11:32+0000";"0";"0";""
"HospitalChone/1219414631421488_971931988051272/1219414631421488_971931988051272";"1309";"1199";"2";"1219414631421488_971931988051272";"data";"data.*";"fetched (200)";"2024-06-08 21:38:36.308176";"Facebook:/<post-id>/comments";"Un programa que disfrutaron nuestros niños, gracias a todos quienes hicieron posible este inolvidable evento";"2024-05-30T21:53:55+0000";"1";"0";""
"HospitalChone/1219414631421488_971931988051272/1219414631421488_971931988051272";"1310";"1199";"2";"1219414631421488_971931988051272";"data";"data.*";"fetched (200)";"2024-06-08 21:38:36.308176";"Facebook:/<post-id>/comments";"Gracias a la Policía Nacional por acompañarnos con el Show de Paquito El Policía y sus amigos";"2024-05-30T21:54:47+0000";"1";"0";""
"HospitalChone/1219414631421488_971931988051272/1219414631421488_971931988051272";"1311";"1199";"2";"1219414631421488_971931988051272";"offcut";"";"fetched (200)";"2024-06-08 21:38:36.308176";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_971925178051953";"1200";"1190";"1";"1219414631421488_971925178051953";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuadorResuelve | ⭕El año lectivo 2024-2025 del programa Aulas Hospitalarias fue inaugurado en el Hospital General Dr. Napoleón Dávila Córdova de Ministerio de Salud Pública, acto en el cual se tuvo la presencia de autoridades del Ministerio Educación Ecuador.  Jordan Bravo, paciente del área de pediatría de esta casa de salud brindó su testimonio de la enseñanza-aprendizaje que ha recibido durante sus días de hospitalización y expresó “he aprendido mucho en estos días, gracias por todo”. Su padre Don Xavier Bravo Ponce también expresó su gratitud por la atención que se le ha dado a su hijo y el anhelo de pronto estar de retorno a su casa.   Este programa forma parte de la inclusión educativa a la que tienen accesos los niños, niñas y adolescentes con un desarrollo educativo, formativo y afectivo de los estudiantes en situación de hospitalización.";"2024-05-30T20:20:36+0000";"";"";""
"HospitalChone/1219414631421488_971925178051953/1219414631421488_971925178051953";"1312";"1200";"2";"1219414631421488_971925178051953";"data";"data.*";"fetched (200)";"2024-06-08 21:38:36.649693";"Facebook:/<post-id>/comments";"Hermoso evento, gracias por todo vuestro apoyo";"2024-05-30T21:51:57+0000";"2";"0";""
"HospitalChone/1219414631421488_971925178051953/1219414631421488_971925178051953";"1313";"1200";"2";"1219414631421488_971925178051953";"offcut";"";"fetched (200)";"2024-06-08 21:38:36.649693";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_971238901453914";"1201";"1190";"1";"1219414631421488_971238901453914";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-29T16:15:37+0000";"";"";""
"HospitalChone/1219414631421488_971238901453914/1219414631421488_971238901453914";"1314";"1201";"2";"1219414631421488_971238901453914";"empty";"";"fetched (200)";"2024-06-08 21:38:36.971700";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_971238901453914/1219414631421488_971238901453914";"1315";"1201";"2";"1219414631421488_971238901453914";"offcut";"";"fetched (200)";"2024-06-08 21:38:36.971700";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970662218178249";"1202";"1190";"1";"1219414631421488_970662218178249";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-28T16:19:38+0000";"";"";""
"HospitalChone/1219414631421488_970662218178249/1219414631421488_970662218178249";"1316";"1202";"2";"1219414631421488_970662218178249";"empty";"";"fetched (200)";"2024-06-08 21:38:37.286646";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970662218178249/1219414631421488_970662218178249";"1317";"1202";"2";"1219414631421488_970662218178249";"offcut";"";"fetched (200)";"2024-06-08 21:38:37.286646";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970214964889641";"1203";"1190";"1";"1219414631421488_970214964889641";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-27T21:34:01+0000";"";"";""
"HospitalChone/1219414631421488_970214964889641/1219414631421488_970214964889641";"1318";"1203";"2";"1219414631421488_970214964889641";"empty";"";"fetched (200)";"2024-06-08 21:38:37.614699";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970214964889641/1219414631421488_970214964889641";"1319";"1203";"2";"1219414631421488_970214964889641";"offcut";"";"fetched (200)";"2024-06-08 21:38:37.614699";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970209984890139";"1204";"1190";"1";"1219414631421488_970209984890139";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-27T21:23:04+0000";"";"";""
"HospitalChone/1219414631421488_970209984890139/1219414631421488_970209984890139";"1320";"1204";"2";"1219414631421488_970209984890139";"empty";"";"fetched (200)";"2024-06-08 21:38:37.924263";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970209984890139/1219414631421488_970209984890139";"1321";"1204";"2";"1219414631421488_970209984890139";"offcut";"";"fetched (200)";"2024-06-08 21:38:37.924263";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970209911556813";"1205";"1190";"1";"1219414631421488_970209911556813";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-27T21:22:55+0000";"";"";""
"HospitalChone/1219414631421488_970209911556813/1219414631421488_970209911556813";"1322";"1205";"2";"1219414631421488_970209911556813";"empty";"";"fetched (200)";"2024-06-08 21:38:38.239795";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_970209911556813/1219414631421488_970209911556813";"1323";"1205";"2";"1219414631421488_970209911556813";"offcut";"";"fetched (200)";"2024-06-08 21:38:38.239795";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968362498408221";"1206";"1190";"1";"1219414631421488_968362498408221";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#InformeALaNación2024 #ElNuevoEcuadorResuelve";"2024-05-24T18:45:53+0000";"";"";""
"HospitalChone/1219414631421488_968362498408221/1219414631421488_968362498408221";"1324";"1206";"2";"1219414631421488_968362498408221";"empty";"";"fetched (200)";"2024-06-08 21:38:38.577720";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968362498408221/1219414631421488_968362498408221";"1325";"1206";"2";"1219414631421488_968362498408221";"offcut";"";"fetched (200)";"2024-06-08 21:38:38.577720";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968342565076881";"1207";"1190";"1";"1219414631421488_968342565076881";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#InformeALaNación2024 #ElNuevoEcuadorResuelve";"2024-05-24T18:02:04+0000";"";"";""
"HospitalChone/1219414631421488_968342565076881/1219414631421488_968342565076881";"1326";"1207";"2";"1219414631421488_968342565076881";"empty";"";"fetched (200)";"2024-06-08 21:38:38.913424";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968342565076881/1219414631421488_968342565076881";"1327";"1207";"2";"1219414631421488_968342565076881";"offcut";"";"fetched (200)";"2024-06-08 21:38:38.913424";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968329431744861";"1208";"1190";"1";"1219414631421488_968329431744861";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#InformeALaNación2024 #ElNuevoEcuadorResuelve";"2024-05-24T17:33:38+0000";"";"";""
"HospitalChone/1219414631421488_968329431744861/1219414631421488_968329431744861";"1328";"1208";"2";"1219414631421488_968329431744861";"empty";"";"fetched (200)";"2024-06-08 21:38:39.225709";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968329431744861/1219414631421488_968329431744861";"1329";"1208";"2";"1219414631421488_968329431744861";"offcut";"";"fetched (200)";"2024-06-08 21:38:39.225709";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968293995081738";"1209";"1190";"1";"1219414631421488_968293995081738";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#InformeALaNación2024 #ElNuevoEcuadorResuelve";"2024-05-24T16:21:45+0000";"";"";""
"HospitalChone/1219414631421488_968293995081738/1219414631421488_968293995081738";"1330";"1209";"2";"1219414631421488_968293995081738";"empty";"";"fetched (200)";"2024-06-08 21:38:39.539709";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968293995081738/1219414631421488_968293995081738";"1331";"1209";"2";"1219414631421488_968293995081738";"offcut";"";"fetched (200)";"2024-06-08 21:38:39.539709";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968237318420739";"1210";"1190";"1";"1219414631421488_968237318420739";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#BatallaDePichincha | @Salud_Ec rinde un justo homenaje este #24DeMayo a los patriotas precursores de la Independencia de Pichincha.  #ElNuevoEcuadorResuelve 🇪🇨";"2024-05-24T14:30:31+0000";"";"";""
"HospitalChone/1219414631421488_968237318420739/1219414631421488_968237318420739";"1332";"1210";"2";"1219414631421488_968237318420739";"empty";"";"fetched (200)";"2024-06-08 21:38:39.869709";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_968237318420739/1219414631421488_968237318420739";"1333";"1210";"2";"1219414631421488_968237318420739";"offcut";"";"fetched (200)";"2024-06-08 21:38:39.869709";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_454840450288492";"1211";"1190";"1";"1219414631421488_454840450288492";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-24T03:09:07+0000";"";"";""
"HospitalChone/1219414631421488_454840450288492/1219414631421488_454840450288492";"1334";"1211";"2";"1219414631421488_454840450288492";"empty";"";"fetched (200)";"2024-06-08 21:38:40.175126";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_454840450288492/1219414631421488_454840450288492";"1335";"1211";"2";"1219414631421488_454840450288492";"offcut";"";"fetched (200)";"2024-06-08 21:38:40.175126";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_967846505126487";"1212";"1190";"1";"1219414631421488_967846505126487";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-23T23:53:16+0000";"";"";""
"HospitalChone/1219414631421488_967846505126487/1219414631421488_967846505126487";"1336";"1212";"2";"1219414631421488_967846505126487";"empty";"";"fetched (200)";"2024-06-08 21:38:40.489318";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_967846505126487/1219414631421488_967846505126487";"1337";"1212";"2";"1219414631421488_967846505126487";"offcut";"";"fetched (200)";"2024-06-08 21:38:40.489318";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_967783681799436";"1213";"1190";"1";"1219414631421488_967783681799436";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuador El Hospital General Dr. Napoleón Dávila Córdova, fue sede del TALLER PARA PERSONAL DE SALUD DE LA RPIS ZONA CENTRO NORTE SALUD SEXUAL Y REPRODUCTIVA – PLANIFICACION FAMILIAR, en cumplimiento  del marco de la implementación del Plan Nacional de Salud Sexual y Salud Reproductiva.  Personal de salud de las diversas unidades operativas del IESS, MSP y PPNN de la zona centro-norte de Manabí, se dieron cita a este evento de fortalecimiento de conocimientos en esta área.";"2024-05-23T21:13:17+0000";"";"";""
"HospitalChone/1219414631421488_967783681799436/1219414631421488_967783681799436";"1338";"1213";"2";"1219414631421488_967783681799436";"empty";"";"fetched (200)";"2024-06-08 21:38:40.828022";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_967783681799436/1219414631421488_967783681799436";"1339";"1213";"2";"1219414631421488_967783681799436";"offcut";"";"fetched (200)";"2024-06-08 21:38:40.828022";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_967168611860943";"1214";"1190";"1";"1219414631421488_967168611860943";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuador |🩺Con la presencia  como facilitador invitado del Dr. Héctor Moreno especialista en ortopedia y traumatología, se desarrolló una nueva jornada de docencia intrahospitalaria.   “Manejo del dolor lumbar crónico con un opioide atípico y uso del parche de lidocaína en el DNL” fue el tema impartido que despertó interés en el personal médico asistente.";"2024-05-22T20:25:14+0000";"";"";""
"HospitalChone/1219414631421488_967168611860943/1219414631421488_967168611860943";"1340";"1214";"2";"1219414631421488_967168611860943";"empty";"";"fetched (200)";"2024-06-08 21:38:41.132086";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_967168611860943/1219414631421488_967168611860943";"1341";"1214";"2";"1219414631421488_967168611860943";"offcut";"";"fetched (200)";"2024-06-08 21:38:41.132086";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_967149965196141";"1215";"1190";"1";"1219414631421488_967149965196141";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"#ElNuevoEcuador | ⭕El servicio de diálisis del Hospital General Dr. Napoleón Dávila Córdova, retomó su normal atención luego de suspenderla de manera temporal a consecuencia de la fuerte inundación en el cantón Chone.  Una vez que se realizaron todas las acciones necesarias para superar esta contingencia, nuestro personal de salud vuelve a brindar una atención cálida y de calidez a los pacientes. Recordemos que este servicio es el único en la Zona 4 de Salud que realiza los tratamientos de diálisis peritoneal y hemodiálisis.";"2024-05-22T19:37:03+0000";"";"";""
"HospitalChone/1219414631421488_967149965196141/1219414631421488_967149965196141";"1342";"1215";"2";"1219414631421488_967149965196141";"data";"data.*";"fetched (200)";"2024-06-08 21:38:41.431524";"Facebook:/<post-id>/comments";"👏🏻👏🏻👏🏻👏🏻";"2024-05-22T19:55:42+0000";"1";"0";""
"HospitalChone/1219414631421488_967149965196141/1219414631421488_967149965196141";"1343";"1215";"2";"1219414631421488_967149965196141";"data";"data.*";"fetched (200)";"2024-06-08 21:38:41.431524";"Facebook:/<post-id>/comments";"👏👏👏👏👏👏👏👏👏";"2024-05-22T20:24:31+0000";"1";"0";""
"HospitalChone/1219414631421488_967149965196141/1219414631421488_967149965196141";"1344";"1215";"2";"1219414631421488_967149965196141";"offcut";"";"fetched (200)";"2024-06-08 21:38:41.431524";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_966640608580410";"1216";"1190";"1";"1219414631421488_966640608580410";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-22T00:25:00+0000";"";"";""
"HospitalChone/1219414631421488_966640608580410/1219414631421488_966640608580410";"1345";"1216";"2";"1219414631421488_966640608580410";"empty";"";"fetched (200)";"2024-06-08 21:38:41.884133";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_966640608580410/1219414631421488_966640608580410";"1346";"1216";"2";"1219414631421488_966640608580410";"offcut";"";"fetched (200)";"2024-06-08 21:38:41.884133";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_966640551913749";"1217";"1190";"1";"1219414631421488_966640551913749";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-22T00:24:54+0000";"";"";""
"HospitalChone/1219414631421488_966640551913749/1219414631421488_966640551913749";"1347";"1217";"2";"1219414631421488_966640551913749";"empty";"";"fetched (200)";"2024-06-08 21:38:42.205595";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_966640551913749/1219414631421488_966640551913749";"1348";"1217";"2";"1219414631421488_966640551913749";"offcut";"";"fetched (200)";"2024-06-08 21:38:42.205595";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_966640498580421";"1218";"1190";"1";"1219414631421488_966640498580421";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-22T00:24:48+0000";"";"";""
"HospitalChone/1219414631421488_966640498580421/1219414631421488_966640498580421";"1349";"1218";"2";"1219414631421488_966640498580421";"empty";"";"fetched (200)";"2024-06-08 21:38:42.519554";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_966640498580421/1219414631421488_966640498580421";"1350";"1218";"2";"1219414631421488_966640498580421";"offcut";"";"fetched (200)";"2024-06-08 21:38:42.519554";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_965890041988800";"1219";"1190";"1";"1219414631421488_965890041988800";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"El Hospital General Dr. Napoleón Dávila Córdova CONVOCA a los proveedores interesados en presentar su cotización de reparación/reposición de los bienes afectados, para el proceso de indemnización que la Compañía de Seguros llevará a cabo.   Los proveedores interesados deberán realizar una inspección técnica y presentar la proforma de reparación o reemplazo (lo que aplique) adjuntando un Informe Técnico hasta el lunes 27 de mayo de 2024.   Para mayor información podrán acercarse a la Coordinación Administrativa Financiera del Hospital,  mediante correo electrónico daf@hospitalgeneralchone.gob.ec o en el link: https://hospitalgeneralchone.gob.ec/convocatoria-a-proveedores-cotizacion-bienes-afectados/";"2024-05-20T19:20:47+0000";"";"";""
"HospitalChone/1219414631421488_965890041988800/1219414631421488_965890041988800";"1351";"1219";"2";"1219414631421488_965890041988800";"empty";"";"fetched (200)";"2024-06-08 21:38:42.844164";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_965890041988800/1219414631421488_965890041988800";"1352";"1219";"2";"1219414631421488_965890041988800";"offcut";"";"fetched (200)";"2024-06-08 21:38:42.844164";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_965462562031548";"1220";"1190";"1";"1219414631421488_965462562031548";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-20T04:09:25+0000";"";"";""
"HospitalChone/1219414631421488_965462562031548/1219414631421488_965462562031548";"1353";"1220";"2";"1219414631421488_965462562031548";"empty";"";"fetched (200)";"2024-06-08 21:38:43.145062";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_965462562031548/1219414631421488_965462562031548";"1354";"1220";"2";"1219414631421488_965462562031548";"offcut";"";"fetched (200)";"2024-06-08 21:38:43.145062";"Facebook:/<post-id>/comments";"";"";"";"";""
"HospitalChone/1219414631421488_965462532031551";"1221";"1190";"1";"1219414631421488_965462532031551";"data";"data.*";"fetched (200)";"2024-06-08 21:38:00.190831";"Facebook:/<page-id>/posts";"";"2024-05-20T04:09:22+0000";"";"";""
"HospitalChone/1219414631421488_965462532031551/1219414631421488_965462532031551";"1355";"1221";"2";"1219414631421488_965462532031551";"empty";"";"fetched (200)";"2024-06-08 21:38:43.455432";"Facebook:/<post-id>/comments";"";"";"";"";""
